email,name
response@aberdeencity.gov.uk,Aberdeen City Council
roads@aberdeenshire.gov.uk,Aberdeenshire Council
accessline@angus.gov.uk,Angus Council
roads.northern@drdni.gov.uk,Antrim Borough Council
roads.southern@drdni.gov.uk,Ards Borough Council
enquiries@argyll-bute.gov.uk,Argyll and Bute Council
roads.southern@drdni.gov.uk,Armagh District Council
roads.northern@drdni.gov.uk,Ballymena Borough Council
roads.northern@drdni.gov.uk,Ballymoney Borough Council
roads.southern@drdni.gov.uk,Banbridge District Council
3000direct@lbbd.gov.uk,Barking and Dagenham Borough Council
first.contact@barnet.gov.uk,Barnet Borough Council
townhall@barnsley.gov.uk,Barnsley Borough Council
councilconnect@bathnes.gov.uk,Bath and North East Somerset Council
highways.helpdesk@bedford.gov.uk,Bedford Borough Council
talk-to-us@bedscc.gov.uk,Bedfordshire County Council
roads.eastern@drdni.gov.uk,Belfast City Council
worksdirect@bexley.gov.uk,Bexley Borough Council
contact@birmingham.gov.uk,Birmingham City Council
info@blackburn.gov.uk,Blackburn with Darwen Borough Council
technical.services@blackpool.gov.uk,Blackpool Borough Council
info@blaenau-gwent.gov.uk,Blaenau Gwent Council
streetcare@bolton.gov.uk,Bolton Borough Council
enquiries@bournemouth.gov.uk,Bournemouth Borough Council
customer.services@bracknell-forest.gov.uk,Bracknell Forest Council
council.contact@bradford.gov.uk,Bradford City Council
customer.services@brent.gov.uk,Brent Borough Council
talktous@bridgend.gov.uk,Bridgend Council
customer.services@bristol.gov.uk,Bristol City Council
tfb@buckscc.gov.uk,Buckinghamshire County Council
customerserviceseds@bury.gov.uk,Bury Borough Council
engineering@caerphilly.gov.uk,Caerphilly Council
customer.first@calderdale.gov.uk,Calderdale Borough Council
street.scene@cambridgeshire.gov.uk,Cambridgeshire County Council
engineeringservice@camden.gov.uk,Camden Borough Council
c2c@cardiff.gov.uk,Cardiff Council
direct@carmarthenshire.gov.uk,Carmarthenshire Council
roads.eastern@drdni.gov.uk,Carrickfergus Borough Council
roads.eastern@drdni.gov.uk,Castlereagh Borough Council
highways@centralbedfordshire.gov.uk,Central Bedfordshire Council
hpw@ceredigion.gov.uk,Ceredigion Council
info@cheshire.gov.uk,Cheshire County Council
CEHNorth@cheshireeast.gov.uk,Cheshire East Council
wyvernhousecontactcentre@cheshirewestandchester.gov.uk,Cheshire West and Chester Council
clarence@edinburgh.gov.uk,City of Edinburgh Council
DES.GeneralENQ@cityoflondon.gov.uk,City of London Corporation
YCC@york.gov.uk,City of York Council
contactcentre@clacks.gov.uk,Clackmannanshire Council
roads.northern@drdni.gov.uk,Coleraine Borough Council
enquiries@cne-siar.gov.uk,Comhairle nan Eilean Siar
highwaymaintenance@conwy.gov.uk,Conwy Council
roads.western@drdni.gov.uk,Cookstown District Council
highways@cornwall.gov.uk,Cornwall Council
coventrydirect@coventry.gov.uk,Coventry City Council
roads.southern@drdni.gov.uk,Craigavon Borough Council
contact.thecouncil@croydon.gov.uk,Croydon Borough Council
highways@cumbria.gov.uk,Cumbria County Council
customerservices@darlington.gov.uk,Darlington Borough Council
customerservice@denbighshire.gov.uk,Denbighshire Council
customerservices@derby.gov.uk,Derby City Council
contact.centre@derbyshire.gov.uk,Derbyshire County Council
roads.northern@drdni.gov.uk,Derry City Council
community.first@doncaster.gov.uk,Doncaster Borough Council
dorsetdirect@dorsetcc.gov.uk,Dorset County Council
roads.southern@drdni.gov.uk,Down District Council
dudleycouncilplus@dudley.gov.uk,Dudley Borough Council
CIS@dumgal.gov.uk,Dumfries and Galloway Council
customerservices@dundeecity.gov.uk,Dundee City Council
roads.western@drdni.gov.uk,Dungannon and South Tyrone Borough Council
HAL@durham.gov.uk,Durham County Council
customers@ealing.gov.uk,Ealing Borough Council
roads@east-ayrshire.gov.uk,East Ayrshire Council
roadservices@eastdunbarton.gov.uk,East Dunbartonshire Council
transportation@eastlothian.gov.uk,East Lothian Council
customerservices@eastrenfrewshire.gov.uk,East Renfrewshire Council
customer.services@eastriding.gov.uk,East Riding of Yorkshire Council
highways@eastsussex.gov.uk,East Sussex County Council
esgcomplaints@enfield.gov.uk,Enfield Borough Council
contact.centre@falkirk.gov.uk,Falkirk Council
roads.western@drdni.gov.uk,Fermanagh District Council
Transportation.Defect-Reports@fife.gov.uk,Fife Council
fixmystreet@flintshire.gov.uk,Flintshire Council
enquiries.localenvservices@gateshead.gov.uk,Gateshead Borough Council
clean@glasgow.gov.uk,Glasgow City Council
highways@gloucestershire.gov.uk,Gloucestershire County Council
cleansweep@greenwich.gov.uk,Greenwich Borough Council
enquiries@gwynedd.gov.uk,Gwynedd Council
info@hackney.gov.uk,Hackney Borough Council
hdl@halton.gov.uk,Halton Borough Council
HighwaysGeneral@lbhf.gov.uk,Hammersmith and Fulham Borough Council
roads@hants.gov.uk,Hampshire County Council
frontline@haringey.gov.uk,Haringey Borough Council
info@harrow.gov.uk,Harrow Borough Council
customer.service@hartlepool.gov.uk,Hartlepool Borough Council
streetcare@havering.gov.uk,Havering Borough Council
info@herefordshire.gov.uk,Herefordshire Council
hertsdirect@hertscc.gov.uk,Hertfordshire County Council
